model,parameters,subset,hessian,prior precision,Bayes loss,Gibbs loss,log marginal
ConvNN-4k,4928.0,last_layer,kron,25.818265914916992,1.5685644,1.5744046,-78304.92
ConvNN-7k,7774.0,last_layer,kron,24.83967399597168,1.4495149,1.4559941,-70672.76
ConvNN-12k,12672.0,last_layer,kron,23.654766082763672,1.3219483,1.3289928,-62077.926
ConvNN-18k,18870.0,last_layer,kron,23.711231231689453,1.2325869,1.2402685,-54566.88
ConvNN-24k,24166.0,last_layer,kron,22.68065643310547,1.1917354,1.1998096,-48662.016
ConvNN-32k,32589.0,last_layer,kron,21.836624145507812,1.1696446,1.178478,-43793.582
ConvNN-39k,39410.0,last_layer,kron,19.33096694946289,1.2221067,1.2317586,-40651.215
ConvNN-50k,50058.0,last_layer,kron,19.476470947265625,1.1903272,1.2008607,-35290.34
ConvNN-62k,62006.0,last_layer,kron,17.012805938720703,1.1710651,1.1824527,-30130.393
ConvNN-71k,71277.0,last_layer,kron,17.288192749023438,1.2460179,1.2587508,-28703.62
ConvNN-85k,85450.0,last_layer,kron,15.823343276977539,1.3445896,1.3602631,-22824.322
ConvNN-96k,96246.0,last_layer,kron,15.071428298950195,1.3975797,1.4144645,-20763.86
ConvNN-112k,112644.0,last_layer,kron,13.458505630493164,1.4298856,1.4496528,-16046.047
ConvNN-130k,130342.0,last_layer,kron,12.751961708068848,1.4438248,1.4670956,-13483.765
ConvNN-143k,143588.0,last_layer,kron,12.109978675842285,1.6723615,1.7008507,-10474.353
ConvNN-163k,163511.0,last_layer,kron,11.87287425994873,1.7928418,1.8295314,-8063.463
ConvNN-178k,178282.0,last_layer,kron,11.179756164550781,1.938435,1.9839251,-6561.643
ConvNN-200k,200430.0,last_layer,kron,10.679754257202148,2.101882,2.1668522,-4313.066
ConvNN-223k,223878.0,last_layer,kron,10.708001136779785,2.0196512,2.0850272,-4044.9373
ConvNN-241k,241099.0,last_layer,kron,10.904509544372559,2.0309608,2.1048462,-3967.2979
ConvNN-266k,266772.0,last_layer,kron,10.125677108764648,2.0886998,2.1734118,-3178.162
ConvNN-285k,285518.0,last_layer,kron,10.098023414611816,2.1008472,2.2028337,-2757.3347
ConvNN-313k,313416.0,last_layer,kron,9.733884811401367,2.1018262,2.229042,-2173.9963
ConvNN-342k,342614.0,last_layer,kron,9.608515739440918,1.9852335,2.1102352,-2126.317
ConvNN-363k,363810.0,last_layer,kron,9.26357650756836,2.06051,2.217527,-1904.2073
ConvNN-395k,395233.0,last_layer,kron,9.226820945739746,2.1303415,2.3265142,-1695.9729
ConvNN-417k,417954.0,last_layer,kron,9.100749969482422,2.0442836,2.2313902,-1681.5001
ConvNN-451k,451602.0,last_layer,kron,8.98431396484375,2.1116912,2.2949166,-1634.597
ConvNN-486k,486550.0,last_layer,kron,8.774888038635254,1.9511404,2.126019,-1535.0022
ConvNN-511k,511721.0,last_layer,kron,9.034148216247559,2.0233572,2.2120183,-1582.5629
ConvNN-548k,548894.0,last_layer,kron,9.050373077392578,1.9610941,2.145564,-1549.8337
ConvNN-575k,575590.0,last_layer,kron,9.221951484680176,1.9423765,2.1292179,-1565.4036
ConvNN-614k,614988.0,last_layer,kron,8.86637020111084,1.9592298,2.1487424,-1524.5641
ConvNN-655k,655686.0,last_layer,kron,8.844948768615723,1.7862787,1.9536167,-1502.4058
ConvNN-684k,684832.0,last_layer,kron,9.070021629333496,1.8671365,2.0486772,-1498.6786
ConvNN-727k,727755.0,last_layer,kron,8.461711883544922,1.7273326,1.8861451,-1441.9069
ConvNN-758k,758426.0,last_layer,kron,8.672064781188965,1.8179657,1.9856439,-1479.265
ConvNN-803k,803574.0,last_layer,kron,8.730841636657715,1.7960551,1.9683719,-1451.5593
ConvNN-850k,850022.0,last_layer,kron,8.96491527557373,1.7391871,1.9168124,-1475.9633
ConvNN-883k,883143.0,last_layer,kron,8.440995216369629,1.737875,1.9021698,-1413.1753
ConvNN-931k,931816.0,last_layer,kron,8.86290168762207,1.7008868,1.8751699,-1421.611
ConvNN-966k,966462.0,last_layer,kron,8.293539047241211,1.6810887,1.8415406,-1395.9143
ConvNN-1017k,1017360.0,last_layer,kron,8.196346282958984,1.6487902,1.7979453,-1391.8766
ConvNN-1069k,1069558.0,last_layer,kron,8.620274543762207,1.7123648,1.8794433,-1418.2502
ConvNN-1106k,1106654.0,last_layer,kron,8.661813735961914,1.707035,1.8774513,-1402.4954
ConvNN-1161k,1161077.0,last_layer,kron,8.621519088745117,1.6086953,1.7652528,-1381.5059
ConvNN-1199k,1199698.0,last_layer,kron,8.568470001220703,1.626516,1.7848167,-1374.945
ConvNN-1256k,1256346.0,last_layer,kron,8.20599365234375,1.5864855,1.741523,-1301.1433
